x_value,total_1,total_2
0,1000,1000
1,1008,996
2,1015,994
3,1018,999
4,1016,1000
5,1022,1001
6,1026,1000
7,1031,997
8,1035,993
9,1029,994
10,1036,998
11,1033,1001
12,1040,996
13,1041,991
14,1045,988
15,1052,990
16,1060,996
17,1060,999
18,1065,995
19,1073,998
20,1068,999
21,1068,1005
22,1072,1008
23,1076,1006
24,1075,1002
25,1079,1004
26,1073,1003
27,1075,1009
28,1078,1010
29,1084,1012
30,1084,1011
31,1088,1014
32,1092,1012
33,1095,1016
34,1103,1016
35,1104,1011
36,1103,1014
37,1097,1017
38,1095,1021
39,1097,1016
40,1103,1016
41,1102,1018
42,1107,1024
43,1106,1029
44,1104,1030
45,1100,1036
46,1103,1034
47,1100,1034
48,1105,1029
49,1101,1035
50,1105,1037
51,1101,1036
52,1100,1033
53,1100,1036
54,1107,1042
55,1103,1039
56,1099,1043
57,1093,1039
58,1100,1037
59,1095,1037
60,1101,1042
61,1108,1044
62,1111,1039
63,1119,1038
64,1117,1039
65,1119,1037
66,1115,1032
67,1115,1029
68,1116,1032
69,1121,1027
70,1129,1027
71,1123,1023
72,1122,1019
73,1122,1019
74,1117,1016
75,1116,1021
76,1115,1025
77,1110,1029
78,1107,1032
79,1115,1033
80,1121,1035
81,1115,1031
82,1122,1034
83,1122,1030
84,1128,1026
85,1135,1029
86,1138,1026
87,1138,1032
88,1137,1038
89,1142,1044
90,1137,1043
91,1131,1043
92,1132,1041
93,1138,1047
94,1145,1044
95,1144,1049
96,1139,1046
97,1143,1049
98,1143,1048
99,1137,1052
100,1142,1058
101,1137,1055
102,1141,1050
103,1147,1055
104,1143,1052
105,1151,1052
106,1159,1047
107,1157,1042
108,1157,1046
109,1154,1049
110,1160,1046
111,1160,1049
112,1155,1048
113,1155,1051
114,1162,1055
115,1167,1051
116,1163,1047
117,1171,1051
118,1166,1046
119,1166,1041
120,1174,1037
121,1171,1033
122,1172,1032
123,1180,1029
124,1186,1026
125,1189,1030
126,1197,1033
127,1191,1039
128,1186,1040
129,1187,1038
130,1186,1034
131,1189,1030
132,1190,1028
133,1192,1030
134,1187,1029
135,1181,1034
136,1188,1039
137,1193,1044
138,1201,1040
139,1208,1035
140,1210,1041
141,1212,1038
142,1209,1040
143,1217,1042
144,1218,1038
145,1224,1041
146,1229,1040
147,1234,1039
148,1230,1045
149,1232,1045
150,1236,1049
151,1235,1054
152,1242,1056
153,1237,1060
154,1240,1055
155,1240,1056
156,1248,1060
157,1247,1065
158,1251,1067
159,1258,1068
160,1264,1069
161,1259,1069
162,1257,1073
163,1264,1069
164,1263,1068
165,1266,1064
166,1274,1062
167,1275,1059
168,1277,1062
169,1283,1057
170,1285,1056
171,1283,1062
172,1285,1063
173,1293,1065
174,1299,1062
175,1304,1065
176,1308,1065
177,1312,1070
178,1315,1068
179,1310,1063
180,1310,1060
181,1311,1059
182,1315,1054
183,1323,1056
184,1324,1060
185,1325,1060
186,1333,1061
187,1331,1058
188,1329,1059
189,1336,1064
190,1336,1063
191,1330,1060
192,1336,1055
193,1337,1054
194,1333,1059
195,1328,1065
196,1331,1061
197,1327,1064
198,1326,1070
199,1324,1073
200,1324,1069
201,1318,1074
202,1321,1080
203,1317,1082
204,1321,1084
205,1315,1086
206,1322,1082
207,1326,1087
208,1322,1087
209,1328,1086
210,1332,1090
211,1332,1096
212,1327,1100
213,1321,1096
214,1328,1099
215,1324,1102
216,1330,1098
217,1333,1098
218,1340,1098
219,1346,1096
220,1348,1091
221,1350,1087
222,1346,1083
223,1351,1087
224,1351,1093
225,1345,1093
226,1341,1091
227,1342,1093
228,1347,1090
229,1344,1087
230,1349,1087
231,1343,1086
232,1342,1083
233,1339,1081
234,1336,1080
235,1332,1075
236,1327,1072
237,1325,1074
238,1322,1069
239,1320,1069
240,1316,1066
241,1318,1068
242,1318,1073
243,1314,1078
244,1310,1076
245,1311,1082
246,1310,1077
247,1305,1074
248,1299,1080
249,1299,1082
250,1295,1086
251,1290,1085
252,1293,1087
253,1290,1086
254,1291,1091
255,1298,1086
256,1299,1091
257,1294,1095
258,1299,1090
259,1293,1085
260,1299,1081
261,1303,1080
262,1300,1080
263,1297,1077
264,1296,1078
265,1301,1080
266,1309,1079
267,1307,1081
268,1303,1087
269,1306,1082
270,1304,1087
271,1300,1082
272,1307,1078
273,1312,1082
274,1317,1085
275,1316,1085
276,1320,1082
277,1328,1086
278,1324,1084
279,1323,1087
280,1329,1089
281,1332,1089
282,1339,1091
283,1340,1086
284,1337,1085
285,1337,1089
286,1343,1090
287,1346,1086
288,1348,1087
289,1353,1084
290,1352,1079
291,1354,1082
292,1355,1082
293,1351,1077
294,1354,1072
295,1352,1069
296,1351,1071
297,1358,1074
298,1364,1080
299,1371,1082
300,1365,1082
301,1362,1088
302,1366,1085
303,1373,1090
304,1371,1087
305,1373,1087
306,1370,1091
307,1371,1087
308,1366,1088
309,1367,1090
310,1362,1088
311,1364,1088
312,1359,1093
313,1363,1095
314,1358,1095
315,1360,1094
316,1355,1096
317,1362,1102
318,1357,1108
319,1365,1109
320,1368,1114
321,1368,1112
322,1372,1118
323,1370,1120
324,1375,1119
325,1378,1115
326,1386,1112
327,1382,1118
328,1388,1123
329,1388,1125
330,1389,1122
331,1394,1124
332,1394,1123
333,1397,1119
334,1404,1117
335,1410,1115
336,1411,1111
337,1411,1106
338,1408,1107
339,1416,1104
340,1419,1104
341,1418,1100
342,1420,1096
343,1418,1097
344,1422,1094
345,1427,1089
346,1431,1092
347,1426,1089
348,1427,1091
349,1435,1087
350,1432,1091
351,1440,1089
352,1440,1091
353,1439,1090
354,1446,1087
355,1441,1091
356,1435,1088
357,1440,1087
358,1436,1089
359,1435,1094
360,1431,1095
361,1433,1090
362,1430,1095
363,1436,1092
364,1439,1091
365,1440,1090
366,1443,1095
367,1451,1094
368,1458,1095
369,1462,1096
370,1464,1092
371,1472,1096
372,1472,1094
373,1475,1089
374,1481,1085
375,1479,1083
376,1476,1085
377,1484,1080
378,1487,1079
379,1483,1078
380,1491,1076
381,1489,1075
382,1493,1073
383,1487,1079
384,1483,1085
385,1483,1080
386,1480,1084
387,1484,1082
388,1487,1082
389,1493,1087
390,1495,1092
391,1495,1092
392,1493,1097
393,1498,1097
394,1498,1094
395,1503,1094
396,1507,1096
397,1514,1095
398,1513,1090
399,1514,1087
400,1518,1092
401,1516,1088
402,1523,1083
403,1522,1088
404,1527,1086
405,1534,1091
406,1534,1088
407,1538,1093
408,1546,1098
409,1543,1095
410,1546,1093
411,1540,1094
412,1538,1096
413,1538,1096
414,1534,1096
415,1534,1093
416,1540,1096
417,1538,1092
418,1540,1091
419,1535,1093
420,1539,1091
421,1543,1089
422,1546,1086
423,1553,1086
424,1560,1087
425,1557,1091
426,1563,1092
427,1569,1088
428,1570,1094
429,1564,1096
430,1565,1100
431,1561,1101
432,1560,1096
433,1557,1102
434,1557,1106
435,1562,1103
436,1559,1103
437,1553,1103
438,1549,1107
439,1556,1103
440,1556,1108
441,1564,1111
442,1559,1116
443,1564,1120
444,1558,1116
445,1566,1113
446,1569,1110
447,1573,1110
448,1577,1115
449,1577,1114
450,1578,1117
451,1576,1121
452,1579,1118
453,1583,1117
454,1586,1116
455,1582,1113
456,1581,1111
457,1589,1113
458,1593,1115
459,1592,1118
460,1588,1117
461,1592,1113
462,1592,1108
463,1598,1110
464,1595,1111
465,1597,1116
466,1594,1116
467,1588,1116
468,1586,1116
469,1594,1119
470,1590,1124
471,1590,1129
472,1598,1135
473,1597,1137
474,1603,1135
475,1611,1141
476,1614,1145
477,1620,1147
478,1622,1143
479,1624,1148
480,1631,1152
481,1635,1149
482,1632,1145
483,1633,1141
484,1640,1141
485,1638,1144
486,1641,1141
487,1638,1136
488,1636,1137
489,1642,1136
490,1647,1133
491,1642,1129
492,1642,1129
493,1638,1133
494,1641,1136
495,1649,1135
496,1656,1137
497,1651,1134
498,1654,1130
499,1654,1136
500,1655,1140
501,1656,1135
502,1656,1136
503,1661,1139
504,1668,1139
505,1669,1136
506,1672,1133
507,1670,1128
508,1675,1124
509,1669,1122
510,1674,1119
511,1675,1116
512,1683,1121
513,1679,1120
514,1678,1117
515,1685,1119
516,1681,1120
517,1688,1125
518,1687,1129
519,1682,1130
520,1688,1133
521,1695,1134
522,1695,1129
523,1694,1132
524,1701,1130
525,1704,1129
526,1712,1127
527,1719,1126
528,1716,1126
529,1718,1127
530,1714,1129
531,1718,1132
532,1718,1127
533,1716,1131
534,1718,1132
535,1718,1132
536,1715,1130
537,1712,1125
538,1711,1121
539,1705,1122
540,1700,1127
541,1700,1126
542,1700,1128
543,1699,1124
544,1693,1119
545,1693,1114
546,1692,1109
547,1687,1113
548,1692,1109
549,1686,1105
550,1688,1102
551,1692,1100
552,1693,1096
553,1690,1094
554,1692,1096
555,1686,1092
556,1688,1089
557,1686,1095
558,1681,1099
559,1687,1098
560,1687,1101
561,1688,1105
562,1686,1102
563,1688,1106
564,1690,1108
565,1691,1107
566,1699,1109
567,1697,1109
568,1694,1114
569,1698,1109
570,1699,1110
571,1698,1106
572,1698,1106
573,1706,1102
574,1705,1097
575,1699,1103
576,1706,1106
577,1707,1102
578,1714,1098
579,1711,1104
580,1711,1105
581,1713,1101
582,1721,1096
583,1724,1091
584,1725,1092
585,1732,1090
586,1733,1094
587,1731,1089
588,1737,1093
589,1735,1099
590,1736,1102
591,1737,1097
592,1745,1101
593,1750,1104
594,1750,1108
595,1747,1114
596,1754,1109
597,1753,1113
598,1759,1112
599,1767,1109
600,1771,1105
601,1768,1105
602,1776,1110
603,1775,1112
604,1777,1111
605,1781,1106
606,1783,1102
607,1789,1107
608,1793,1104
609,1798,1103
610,1799,1105
611,1795,1110
612,1791,1109
613,1798,1115
614,1792,1114
615,1789,1120
616,1786,1118
617,1793,1124
618,1795,1126
619,1799,1121
620,1794,1125
621,1793,1129
622,1787,1124
623,1793,1129
624,1788,1124
625,1788,1129
626,1784,1134
627,1778,1137
628,1774,1139
629,1773,1137
630,1773,1132
631,1778,1134
632,1782,1131
633,1790,1135
634,1790,1135
635,1796,1140
636,1800,1135
637,1804,1141
638,1802,1137
639,1804,1135
640,1798,1134
641,1799,1138
642,1802,1138
643,1797,1137
644,1798,1134
645,1800,1140
646,1796,1146
647,1798,1151
648,1804,1150
649,1805,1150
650,1806,1153
651,1811,1149
652,1810,1149
653,1807,1144
654,1810,1144
655,1818,1149
656,1823,1154
657,1817,1156
658,1811,1160
659,1806,1166
660,1810,1169
661,1818,1172
662,1826,1177
663,1830,1178
664,1827,1179
665,1827,1181
666,1823,1187
667,1818,1191
668,1813,1194
669,1808,1196
670,1806,1197
671,1806,1200
672,1809,1202
673,1813,1204
674,1815,1208
675,1811,1206
676,1819,1206
677,1826,1205
678,1821,1208
679,1815,1203
680,1819,1203
681,1821,1204
682,1828,1200
683,1835,1205
684,1836,1206
685,1835,1211
686,1829,1210
687,1825,1207
688,1833,1209
689,1836,1213
690,1840,1217
691,1847,1220
692,1854,1216
693,1852,1222
694,1853,1217
695,1857,1221
696,1863,1221
697,1859,1216
698,1861,1215
699,1858,1211
700,1853,1207
701,1855,1205
702,1857,1209
703,1865,1213
704,1868,1209
705,1863,1211
706,1857,1214
707,1861,1213
708,1859,1209
709,1863,1205
710,1861,1209
711,1869,1205
712,1865,1210
713,1873,1211
714,1873,1214
715,1872,1217
716,1871,1215
717,1878,1215
718,1872,1212
719,1880,1209
720,1882,1205
721,1885,1202
722,1881,1202
723,1882,1208
724,1884,1203
725,1892,1207
726,1895,1204
727,1894,1203
728,1901,1206
729,1908,1209
730,1909,1205
731,1905,1202
732,1905,1208
733,1905,1205
734,1902,1202
735,1904,1202
736,1908,1207
737,1911,1213
738,1909,1213
739,1909,1216
740,1903,1218
741,1906,1218
742,1913,1222
743,1909,1227
744,1905,1227
745,1900,1223
746,1907,1221
747,1910,1223
748,1915,1221
749,1909,1218
750,1916,1221
751,1917,1217
752,1918,1215
753,1917,1215
754,1913,1219
755,1907,1217
756,1914,1215
757,1918,1219
758,1923,1223
759,1925,1222
760,1920,1221
761,1928,1226
762,1930,1228
763,1932,1226
764,1938,1225
765,1938,1223
766,1935,1218
767,1936,1213
768,1943,1210
769,1941,1216
770,1945,1219
771,1939,1214
772,1946,1212
773,1951,1214
774,1950,1212
775,1944,1213
776,1950,1215
777,1944,1210
778,1945,1213
779,1949,1213
780,1949,1210
781,1954,1208
782,1955,1210
783,1950,1211
784,1955,1212
785,1963,1212
786,1969,1214
787,1972,1213
788,1980,1214
789,1978,1215
790,1978,1221
791,1986,1227
792,1994,1223
793,1995,1226
794,1991,1223
795,1997,1225
796,1992,1230
797,1995,1235
798,1993,1240
799,1991,1239
800,1993,1237
801,2000,1238
802,1998,1236
803,1996,1234
804,2001,1239
805,2000,1245
806,1995,1244
807,1991,1244
808,1990,1244
809,1989,1247
810,1985,1243
811,1986,1242
812,1991,1240
813,1991,1241
814,1988,1237
815,1984,1241
816,1987,1247
817,1993,1252
818,1989,1247
819,1997,1253
820,1994,1257
821,1997,1254
822,1992,1254
823,1988,1258
824,1989,1257
825,1997,1262
826,1995,1262
827,2003,1265
828,1997,1261
